Tenure,Monthly Charges,Device Protection,Streaming TV,Tech Support,Internet Service,Online Security,Streaming Movies,Online Backup,Payment Method,Churn
1,29.85,No,No,No,DSL,No,No,Yes,Electronic check,No
34,56.95,Yes,No,No,DSL,Yes,No,No,Mailed check,No
2,53.85,No,No,No,DSL,Yes,No,Yes,Mailed check,Yes
45,42.3,Yes,No,Yes,DSL,Yes,No,No,Bank transfer (automatic),No
2,70.7,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
8,99.65,Yes,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
22,89.1,No,Yes,No,Fiber optic,No,No,Yes,Credit card (automatic),No
10,29.75,No,No,No,DSL,Yes,No,No,Mailed check,No
28,104.8,Yes,Yes,Yes,Fiber optic,No,Yes,No,Electronic check,Yes
62,56.15,No,No,No,DSL,Yes,No,Yes,Bank transfer (automatic),No
13,49.95,No,No,No,DSL,Yes,No,No,Mailed check,No
16,18.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
58,100.35,Yes,Yes,No,Fiber optic,No,Yes,No,Credit card (automatic),No
49,103.7,Yes,Yes,No,Fiber optic,No,Yes,Yes,Bank transfer (automatic),Yes
25,105.5,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Electronic check,No
69,113.25,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Credit card (automatic),No
52,20.65,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
71,106.7,Yes,Yes,No,Fiber optic,Yes,Yes,No,Bank transfer (automatic),No
10,55.2,Yes,No,Yes,DSL,No,No,No,Credit card (automatic),Yes
21,90.05,Yes,No,No,Fiber optic,No,Yes,Yes,Electronic check,No
1,39.65,Yes,No,No,DSL,No,Yes,No,Electronic check,Yes
12,19.8,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
1,20.15,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,Yes
58,59.9,No,No,Yes,DSL,No,No,Yes,Credit card (automatic),No
49,59.6,No,No,Yes,DSL,Yes,No,Yes,Credit card (automatic),No
30,55.3,No,No,No,DSL,Yes,No,Yes,Bank transfer (automatic),No
47,99.35,No,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
1,30.2,No,No,No,DSL,No,No,Yes,Electronic check,Yes
72,90.25,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Credit card (automatic),No
17,64.7,No,Yes,No,DSL,No,Yes,No,Mailed check,Yes
71,96.35,Yes,No,Yes,Fiber optic,Yes,No,Yes,Credit card (automatic),No
2,95.5,Yes,Yes,No,Fiber optic,No,Yes,No,Credit card (automatic),No
27,66.15,Yes,No,Yes,DSL,Yes,No,Yes,Mailed check,No
1,20.2,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
1,45.25,No,No,No,DSL,No,No,No,Bank transfer (automatic),No
72,99.9,No,Yes,Yes,Fiber optic,Yes,No,Yes,Bank transfer (automatic),No
5,69.7,No,No,No,Fiber optic,No,No,No,Electronic check,Yes
46,74.8,Yes,No,No,Fiber optic,No,No,No,Credit card (automatic),No
34,106.35,Yes,Yes,No,Fiber optic,No,Yes,Yes,Electronic check,Yes
11,97.85,Yes,Yes,No,Fiber optic,No,Yes,No,Bank transfer (automatic),Yes
10,49.55,No,No,No,DSL,No,No,Yes,Mailed check,No
70,69.2,No,Yes,No,DSL,Yes,No,Yes,Credit card (automatic),No
17,20.75,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Mailed check,No
63,79.85,Yes,Yes,Yes,DSL,Yes,No,Yes,Credit card (automatic),No
13,76.2,No,Yes,Yes,DSL,Yes,No,Yes,Electronic check,No
49,84.5,No,No,No,Fiber optic,No,Yes,No,Electronic check,No
2,49.25,No,No,No,DSL,No,No,Yes,Mailed check,No
2,80.65,No,Yes,No,Fiber optic,No,No,No,Electronic check,Yes
52,79.75,No,Yes,Yes,DSL,Yes,Yes,No,Credit card (automatic),No
69,64.15,Yes,No,Yes,DSL,Yes,No,No,Credit card (automatic),No
43,90.25,No,Yes,No,Fiber optic,No,No,Yes,Electronic check,No
15,99.1,No,Yes,No,Fiber optic,Yes,Yes,Yes,Credit card (automatic),Yes
25,69.5,No,Yes,Yes,DSL,Yes,No,No,Credit card (automatic),No
8,80.65,No,No,No,Fiber optic,No,No,Yes,Credit card (automatic),Yes
60,74.85,Yes,No,Yes,DSL,Yes,Yes,Yes,Credit card (automatic),No
18,95.45,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
63,99.65,No,Yes,No,Fiber optic,Yes,Yes,No,Credit card (automatic),No
66,108.45,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Electronic check,No
34,24.95,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Credit card (automatic),No
72,107.5,Yes,Yes,Yes,Fiber optic,No,Yes,No,Credit card (automatic),No
47,100.5,Yes,Yes,No,Fiber optic,No,Yes,No,Electronic check,No
60,89.9,No,Yes,No,Fiber optic,No,No,Yes,Bank transfer (automatic),No
72,42.1,Yes,No,No,DSL,Yes,No,Yes,Bank transfer (automatic),No
18,54.4,Yes,No,Yes,DSL,No,No,No,Credit card (automatic),No
9,94.4,No,Yes,No,Fiber optic,No,Yes,No,Electronic check,Yes
3,75.3,No,Yes,Yes,DSL,No,Yes,Yes,Electronic check,No
47,78.9,No,No,No,Fiber optic,No,No,Yes,Electronic check,No
31,79.2,Yes,Yes,Yes,DSL,No,Yes,Yes,Mailed check,No
50,20.15,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
10,79.85,Yes,No,No,Fiber optic,Yes,No,No,Mailed check,No
1,49.05,No,No,Yes,DSL,No,No,No,Mailed check,No
52,20.4,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Electronic check,No
64,111.6,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Bank transfer (automatic),No
62,24.25,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,Bank transfer (automatic),No
3,64.5,No,No,Yes,DSL,Yes,Yes,No,Bank transfer (automatic),No
56,110.5,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Electronic check,No
46,55.65,No,No,No,DSL,No,Yes,No,Credit card (automatic),No
8,54.65,No,No,No,DSL,Yes,No,Yes,Mailed check,No
30,74.75,No,Yes,No,DSL,Yes,Yes,Yes,Electronic check,No
